cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
CDR similarity,sequence,structural feature,structure,modifies,1,1,medium,properly measure the similarity between the CDRs of antibodies,36077163
CDR similarity,sequence,biophysical properties,stability,increases,1,1,medium,properly measure the similarity between the CDRs of antibodies,36077163
structural features,structure,recognition,quality_outcome,promotes,1,1,medium,families of Ab recognizing similar epitopes,36077163
CDR similarity,sequence,off-target reactivity,quality_outcome,increases,1,1,medium,identify off-targets and forecast the cross-reactions,36077163
CDR similarity,sequence,new antibody,quality_outcome,promotes,1,1,medium,identify new Ab specific for a given target,36077163
colloidal interactions,structure,colloidal stability,stability,promotes,1,1,high,"Colloidal interactions, self-association propensity and conformational stability were measured.",27210456
self-association propensity,structure,colloidal stability,stability,promotes,1,1,high,"Colloidal interactions, self-association propensity and conformational stability were measured.",27210456
conformational characteristics,structure,colloidal stability,stability,promotes,1,1,high,"Colloidal interactions, self-association propensity and conformational stability were measured.",27210456
methionine addition,formulation,oxidation,stability,prevents,1,1,high,to mitigate these issues.,32679214
B2,stability,aggregation propensity,stability,correlates,1,1,high,B 2 correlated quantitatively with aggregation propensities at 40 degrees C.,23319172
net charge,stability,colloidal stability,stability,correlates,1,1,high,The net charge partly correlated with colloidal stability.,23319172
microgravity,stress,stability,stability,increases,1,1,high,"Microgravity facilitates the growth of high-quality drug crystals, improving drug stability, efficacy, and delivery meth",40826996
microgravity,stress,high-quality,structure,promotes,1,1,high,"Microgravity facilitates the growth of high-quality drug crystals, improving drug stability, efficacy, and delivery meth",40826996
high-quality crystals,structure,stability,stability,increases,1,1,high,"Microgravity facilitates the growth of high-quality drug crystals, improving drug stability, efficacy, and delivery meth",40826996
Abeta binding,formulation,antibody stability,stability,increases,1,1,high,antibody stability is increased upon Abeta binding,38723181
Abeta binding,formulation,Fc region,structure,modifies,1,1,high,this stabilization involves the Fc region,38723181
Abeta binding,formulation,conformational specificity,stability,promotes,1,1,medium,two antibodies with relatively high conformational specificity,38723181
thermal stress,stress,disulfide disruption,structure,induces,1,1,high,Several of these fragments result from simple disulfide linkage disruption.,8644915
disulfide disruption,structure,degradation,stability,promotes,1,1,high,Several of these fragments result from simple disulfide linkage disruption.,8644915
fragmentation,stability,degradation,stability,increases,1,1,high,"the percentage of ionization carried by the intact antibody molecular ions M+, M2+, etc., had clearly decreased.",8644915
human nanobodies,sequence,stability,stability,increases,1,1,high,"optimized through computational and artificial intelligence-guided algorithms to improve humanness, solubility, and stab",41462276
thermostability,stability,delivery,stability,promotes,1,1,medium,"highlighting their immunogenicity, thermostability, delivery, and field readiness.",41150154
delivery,stability,field readiness,stability,increases,1,1,medium,"highlighting their immunogenicity, thermostability, delivery, and field readiness.",41150154
gene editing,formulation,stability,formulation,requires,1,1,medium,gene editing may require stacked edits and concurrent vaccination.,41150154
phage programs,formulation,host range,formulation,requires,1,1,medium,"phage programs must manage host range, resistance, stability, and regulation.",41150154
phage programs,formulation,resistance,formulation,requires,1,1,medium,"phage programs must manage host range, resistance, stability, and regulation.",41150154
phage programs,formulation,stability,stability,requires,1,1,medium,"phage programs must manage host range, resistance, stability, and regulation.",41150154
phage programs,formulation,regulation,formulation,requires,1,1,medium,"phage programs must manage host range, resistance, stability, and regulation.",41150154
probiotic benefits,formulation,context-specific,formulation,requires,1,1,medium,probiotic benefits remain context-specific.,41150154
human nanobodies,sequence,binding affinity,stability,increases,1,1,high,Optimized TfR1-binding nanobodies exhibited high affinity for human TfR1.,41462276
binding affinity,stability,BBB permeability,stability,increases,1,1,high,These nanobodies crossed the BBB efficiently without interfering with transferrin binding.,41462276
human nanobodies,sequence,solubility,stability,increases,1,1,high,"optimized through computational and artificial intelligence-guided algorithms to improve humanness, solubility, and stab",41462276
immunogenicity,stability,thermostability,stability,increases,1,1,medium,"highlighting their immunogenicity, thermostability, delivery, and field readiness.",41150154
N-glycosylation,stability,glycosylation,quality_outcome,promotes,1,1,high,help build integrated process models that may allow for glycosylation control.,40251805
glucose starvation,stress,N-glycosylation,stability,modifies,1,1,high,increased desirable production of single and double galactose-occupied glycoforms over time under glucose-starved fed-ba,40251805
N-glycosylation,stability,high-quality,quality_outcome,promotes,1,1,high,produce higher-quality biologics.,40251805
V44KE59S,sequence,conformational stability,stability,stabilizes,1,1,high,V44KE59S is also slightly more active and its transfections in CHO cells were more productive.,30189027
V44KE59S,sequence,biological activity,quality_outcome,increases,1,1,high,the improvements in solution behavior of MAB1 also increased its biological activity up to ~180%.,30189027
V44KE59S,sequence,viscosity,stability,decreases,1,1,high,viscosity at ~100 mg/ml decreased to less than half of the corresponding values for MAB1.,30189027
V44KE59S,sequence,diffusion interaction parameter,stability,decreases,1,1,high,Its diffusion interaction parameter (kD) reduced to 28%.,30189027
V44KE59S,sequence,degradation rate,stability,decreases,1,1,high,It also degraded slower than MAB1 in three month long 25 degrees C and 40 degrees C formulation stability studies.,30189027
formulation buffer,formulation,solution behavior,stability,stabilizes,1,1,medium,MAB1 and its variants were formulated in the same platform buffer and subjected to a battery of experiments to assess th,30189027
mAb,sequence,manufacturability hurdles,stress,destabilizes,1,1,medium,whose development was discontinued owing to manufacturability hurdles.,30189027
mutagenesis studies,sequence,biophysical attributes,quality_outcome,increases,1,1,medium,Five of the seven (71%) variants of MAB1 demonstrated improved biophysical attributes in multiple experimental testings.,30189027
colloidal stability,stability,accelerated stability,stability,increases,1,1,high,"Colloidal stability, self-association propensity and conformational characteristics provide reasonable prediction of acc",27210456
acidic conditions,stress,conformational changes,structure,induces,1,1,high,understanding the aggregation mechanisms and kinetics during acidic pH exposure.,40403800
dimers,stability,monomers,stability,requires,1,1,high,"IgG dimers, not only dissociated into monomers.",40403800
neutralization,stress,aggregation,stability,promotes,1,1,high,product formation during neutralization of acid-stressed samples.,40403800
aggregation,stability,tetramers,stability,promotes,1,1,high,IgG predominantly formed tetramers or HMWs with limited reversion to monomers.,40403800
HMWs,stability,safety,quality_outcome,increases,1,1,high,mitigating safety risks associated with aggregation.,40403800
expressing cell lines,structure,stability,stability,requires,1,1,high,"Establishing stable expressing cell lines is essential to ensure the stability, reliability, and consistency of assays.",40993482
CRISPR/Cas9,sequence,stability,structure,induces,1,1,high,CRISPR/Cas9 gene editing technology mediated site-specific gene integration allows for rapid and precise insertion.,40993482
expressing cell lines,structure,reliability,stability,stabilizes,1,1,high,"Establishing stable expressing cell lines is essential to ensure the stability, reliability, and consistency of assays.",40993482
expressing cell lines,structure,consistency,stability,stabilizes,1,1,high,"Establishing stable expressing cell lines is essential to ensure the stability, reliability, and consistency of assays.",40993482
engineered Fab,sequence,VEGF-A inhibition,stability,requires,1,1,high,engineered Fab retains the VEGF-A-binding and inhibition properties of the parental human Fab.,35393854
engineered Fab,sequence,stability properties,stability,requires,1,1,high,engineered Fab...has stability properties suitable for LAD evaluation.,35393854
aggregation,stability,HMWs,stability,increases,1,1,high,formation of initial dimers and their progression to high-molecular-weight species (HMWs).,40403800
self-association propensity,structure,accelerated stability,stability,increases,1,1,high,"Colloidal stability, self-association propensity and conformational characteristics provide reasonable prediction of acc",27210456
conformational characteristics,structure,accelerated stability,stability,increases,1,1,high,"Colloidal stability, self-association propensity and conformational characteristics provide reasonable prediction of acc",27210456
accelerated storage,stress,degradation,stability,promotes,1,1,high,the majority of the mAbs in this study degraded via fragmentation rather than aggregation.,27210456
melting,structure,lower stability,stability,destabilizes,1,1,high,melting of the Fab domain with the CH2 domain suggests lower stability at stressed conditions.,27210456
melting onset,stability,stability behavior,stability,correlates,1,1,medium,no correlations to stability behavior were observed with onset-of-melting temperatures.,27210456
unfolding temperatures,stability,stability behavior,stability,correlates,1,1,medium,no correlations to stability behavior were observed with domain unfolding temperatures.,27210456
formulation,formulation,increased stability,stability,promotes,1,1,medium,formulation improvements for increased stability.,40033748
nsp2,sequence,replication,stability,decreases,1,1,high,"nsp2 was dispensable for PEDV infection, while its deficiency reduced viral replication.",38597182
nsp2,sequence,TBK1,stability,destabilizes,1,1,high,nsp2 targets and degrades TBK1.,38597182
nsp2,sequence,autophagy,stability,induces,1,1,high,nsp2 induced the macroautophagy/autophagy process.,38597182
nsp2,sequence,NBR1,stability,requires,1,1,high,"nsp2 targets and degrades TBK1, the critical kinase in the innate immune response.",38597182
feeding times,stress,N-glycosylation,stability,modifies,1,1,high,Trastuzumab terminal galactosylation is sensitive to media feeding times.,40251805
NBR1,sequence,autophagy,stability,promotes,1,1,high,NBR1 subsequently facilitated the K48-linked ubiquitination of TBK1 and delivered it for autophagosome-mediated degradat,38597182
autophagy,stability,replication,stability,inhibits,1,1,high,the replication of rPEDV-nsp2 CoV was restrained by reduced autophagy.,38597182
type I IFNs,stability,replication,stability,inhibits,1,1,high,excess productions of type I IFNs and ISGs.,38597182
AJICAP-ADC,formulation,stability,stability,increases,1,1,high,Trastuzumab-AJICAP-maytansinoid produced by this unique chemical conjugation methodology showed higher stability.,36042175
AJICAP-ADC,formulation,therapeutic index,quality_outcome,increases,1,1,high,demonstrating an expansion of the AJICAP-ADC therapeutic index compared with that of commercially available T-DM1.,36042175
AJICAP,formulation,site-specific conjugation,formulation,promotes,1,1,high,we developed a novel chemical conjugation technology termed 'AJICAP' for modification of antibodies in site-specific man,36042175
non-specific conjugation,formulation,therapeutic index,quality_outcome,decreases,1,1,high,"T-DM1 has wide heterogeneity due to non-specific conjugation, lowering its therapeutic index.",36042175
galactose,formulation,N-glycosylation,stability,modifies,1,1,high,Temporal analysis reveals an increased desirable production of single and double galactose-occupied glycoforms.,40251805
manganese,formulation,N-glycosylation,stability,modifies,1,1,high,"specific nutrient feed media additives (e.g., galactose, manganese) and feeding times on the N-glycosylation pathway.",40251805
N-glycosylation,stability,glycoform composition,quality_outcome,increases,1,1,high,Building a temporal understanding of N-glycosylation and how mAb glycoform composition responds to real-time changes.,40251805
N-glycosylation,stability,therapeutic glycoprotein stability,stability,increases,1,1,high,Glycosylation is a heterogenous posttranslational modification that may influence therapeutic glycoprotein stability.,40251805
NBR1,sequence,TBK1,stability,destabilizes,1,1,high,NBR1 subsequently facilitated the K48-linked ubiquitination of TBK1.,38597182
stress reduction,stress,aggregation,stability,prevents,1,1,high,the absence of aggregation could be explained by the reduction of interfacial stress.,39481661
headspace removal,formulation,interfacial stress,stress,decreases,1,1,high,the reduction of interfacial stress due to headspace removal from the infusion bags.,39481661
moderate stress,stress,aggregation,stability,prevents,1,1,high,there was also only a moderate amount of mechanical stress caused by transportation.,39481661
CSTD geometry,stress,stability,stability,destabilizes,1,1,high,the geometry of the fluid paths of CSTDs can have a detrimental effect on protein stability.,39617054
CSTD geometry,stress,shear stress,stress,increases,1,1,high,demonstrated a 154-fold difference in maximum shear stress.,39617054
shear stress,stress,stability,stability,destabilizes,1,1,high,the geometry of the fluid paths of CSTDs can have a detrimental effect on protein stability.,39617054
CSTD geometry,stress,residence time,stress,modifies,1,1,high,a significant difference in solution residence time.,39617054
solution residence time,stress,stability,stability,destabilizes,1,1,high,the geometry of the fluid paths of CSTDs can have a detrimental effect on protein stability.,39617054
CSTD models,stress,particle formation,stability,increases,1,1,high,A wide range of visible and subvisible particle formation was observed among CSTD models.,39617054
protein concentration,formulation,buffering capacity,stability,increases,1,1,high,"Protein therapeutics, including monoclonal antibodies (mAbs), have significant buffering capacity, particularly at conce",25641961
buffer-free conditions,formulation,aggregation,stability,decreases,1,1,high,"In general, buffer-free solution conditions showed less aggregation than conventionally buffered solutions.",25641961
sugars,formulation,conformational stability,stability,stabilizes,1,1,high,Sugars further improved aggregation propensities by enhancing conformational stability.,23319172
buffer-free conditions,formulation,pH changes,stability,prevents,1,1,medium,"In temperature stability tests, neither buffer-free nor conventionally buffered solution conditions showed significant p",25641961
buffer-free preparations,formulation,adoption,stability,promotes,1,1,medium,buffer-free therapeutic antibody preparations provide a viable alternative to conventionally buffered solutions.,25641961
holographic analysis,formulation,measurement of concentrations,stability,induces,1,1,high,precise and accurate measurement of the concentrations and size distributions of multiple classes of subvisible contamin,32439328
holographic analysis,formulation,differentiation,stability,induces,1,1,high,differentiate them based on material characteristics measured from their holograms,32439328
component differentiation,stability,tracking stability factors,stability,induces,1,1,high,provides a basis for tracking other factors that influence the stability of protein formulations,32439328
handling,stress,influence on stability,stability,increases,1,1,medium,factors that influence the stability of protein formulations including handling and degradation of surfactant and other ,32439328
excipient selection,formulation,long-term stability,stability,increases,1,1,high,The excipient selection process plays a crucial role in biopharmaceutical formulation development to ensure the long-ter,39571949
excipient interactions,formulation,Fc instability,stability,promotes,1,1,high,"...interactions of rituximab with certain buffers and amino acids, shedding light on its Fc fragment instability.",39571949
excipient selection,formulation,excipient interactions,formulation,requires,1,1,high,The excipient selection process plays a crucial role in biopharmaceutical formulation development...,39571949
chromatographic method,formulation,stability-indicating,stability,requires,1,1,medium,the study and validation of a method for quantifying intact CTX...as stability-indicating,29403971
stress factors,stress,robustness,stability,increases,1,1,medium,the robustness of the mAb formulation against external stress factors,29403971
buffered solutions,formulation,opalescence,stability,increases,1,1,high,Conventionally buffered solutions showed significantly higher opalescence than buffer-free ones.,25641961
assay performance,stability,stability assessment,stability,increases,1,1,high,improved accuracy and precision of recovery calculations.,40097239
stability,stability,exposure,stability,correlates,1,1,medium,stability correlated with exposure.,40097239
antibody incubation,formulation,stability assessment,stability,promotes,1,1,medium,incubation of antibody therapeutics along with an IS.,40097239
affinity purification,formulation,stability assessment,stability,promotes,1,1,medium,affinity purification and LC-MS analysis.,40097239
LC-MS,formulation,stability assessment,stability,promotes,1,1,medium,LC-MS analysis for stability assessment.,40097239
formulation composition,formulation,structural stability,stability,increases,1,1,high,the effect of different formulations on structural stability and aggregation behavior,39870255
freeze-drying,stress,soluble aggregate,stability,increases,1,1,high,the freeze-drying process caused a significant increase in the number of soluble aggregates,39870255
sucrose formulation,formulation,soluble aggregate,stability,increases,1,1,high,only in sucrose containing formulations,39870255
agitation,stress,insoluble aggregates,stability,increases,1,1,high,agitation in sorbitol containing formulation led to a significant increase in insoluble aggregates,39870255
absence of surfactant,formulation,insoluble aggregates,stability,increases,1,1,high,the absence of surfactant in this formulation composition,39870255
aminocaproic acid,formulation,BGE composition,formulation,requires,1,1,medium,the background electrolyte (BGE) composition is a key and critical material.,40988426
mechanical stress,stress,unfolding,stability,induces,1,1,high,mechanical stress... can induce antibody unfolding and aggregation.,39481661
triethylenetetramine,formulation,ruggedness,stability,stabilizes,1,1,medium,provide alternative options to eACA and triethyltetramine (TETA).,40988426
eACA-CZE method,formulation,release studies,stability,shields,1,1,medium,de-risking and safeguarding release and stability studies for therapeutic mAbs.,40988426
higher doses,formulation,lower stability,stability,destabilizes,1,1,high,Monoclonal antibodies requiring higher doses for exerting therapeutic effect but having lower stability.,32946895
manufacturing conditions,stress,high concentration formulation,formulation,increases,1,1,high,impact of manufacturing conditions on ultra-high concentration (>=150mg/mL) IgG1 formulation.,32946895
tangential flow filtration,stress,IgG1 high concentration,formulation,increases,1,1,high,IgG1 was concentrated to ~200mg/mL using tangential flow filtration (TFF).,32946895
reconstituted IgG1,formulation,increased viscosity,stability,increases,1,1,high,"Reconstituted, SPD and SFD IgG1 formulations, increased viscosity beyond an acceptable range.",32946895
reconstituted IgG1,formulation,increase in impurities,stability,increases,1,1,high,"demonstrated increase in high and low molecular weight impurities, at accelerated and stressed conditions.",32946895
reconstituted IgG1,formulation,comparable stability,stability,stabilizes,1,1,high,stability data suggested reconstituted SFD IgG1 was comparable to control IgG1 formulation.,32946895
formulation diafiltered with proline using TFF (formulation),formulation,reduce viscosity,stability,decreases,1,1,high,"formulation of IgG1 diafiltered with proline using TFF, reduce viscosity from ~21.9cP to ~11cP.",32946895
TFF,stress,manufacturing method,formulation,requires,1,1,high,conventional TFF technique stands to be one of the preferred methods for manufacturing.,32946895
formulation,formulation,long term storage,formulation,promotes,1,1,high,SFD could be an alternative method for long term storage of IgG1 in a dry powder state.,32946895
BGE composition,formulation,ruggedness,stability,stabilizes,1,1,medium,the results underline the ruggedness of the eACA-CZE method.,40988426
site-specific conjugation,formulation,batch consistency,stability,increases,1,1,medium,site-specific conjugation techniques enhance batch consistency.,40824329
ACNPs,formulation,payload capacity,stability,increases,1,1,medium,ACNPs enhance payload capacity and tumor penetration through their tunable physicochemical properties.,40824329
ACNPs,formulation,target binding,stability,promotes,1,1,medium,ACNPs also facilitate multivalent binding by functionalizing multiple antibody molecules on their surface.,40824329
higher DAR,formulation,controlled release,stability,promotes,1,1,medium,"This conjugation promotes controlled drug release, higher drug-to-antibody ratios (DAR), and reduced off-target effects.",40824329
characterization technologies,formulation,aggregation,stability,inhibits,1,1,medium,"characterization technologies, such as SEC-HPLC, LC-MS/MS, and SPR, address challenges related to DAR quantification and",40824329
cRGD,formulation,targeting,stability,increases,1,1,medium,Biomimetic magnetic nanoparticles further augment RFA efficacy by enhancing targeting precision.,40956367
formulation,formulation,biocompatibility,stability,increases,1,1,medium,Biomimetic magnetic nanoparticles further augment RFA efficacy by enhancing biocompatibility.,40956367
FABP5,sequence,RFA response,stability,increases,1,1,high,FABP5 overexpression in HCC tissues is strongly linked to RFA response.,40956367
FABP5,sequence,ferroptosis,stability,induces,1,1,high,FABP5 deletion potentiates RFA-induced ferroptosis.,40956367
FABP5,sequence,anti-tumor immunity,stability,increases,1,1,high,FABP5 deletion potentiates RFA-induced ferroptosis and bolsters anti-tumor immune responses.,40956367
STING pathway,structure,TBK1 stability,stability,modifies,1,1,medium,FABP5 inhibition activates the STING/TBK1 signaling pathway and modulates TBK1 protein stability.,40956367
robustness,stability,stability,stability,promotes,1,1,medium,the robustness of the mAb formulation against external stress factors,29403971
RFA,stress,ferroptosis,stability,induces,1,1,high,the nanocarrier exerts anti-tumor effects primarily through ferroptosis induction.,40956367
anti-PD-L1 therapy,formulation,synergistic efficacy,stability,increases,1,1,medium,the combination of RFA with anti-PD-L1 therapy demonstrates synergistic efficacy against HCC.,40956367
charge variants,stability,potency determination,quality_outcome,increases,1,1,medium,"providing sufficient enrichment for further analysis, stability tests and potency determination.",21700290
cation exchange chromatography,formulation,charge variant,stability,increases,1,1,high,isolation and enrichment of charge variants of a monoclonal antibody IgG1 using cation exchange displacement chromatogra,21700290
charge variants,stability,molecular weight species,stability,promotes,1,1,medium,indicate the possibility of enrichment of high and low molecular weight species.,21700290
charge variants,stability,glycan distribution,stability,modifies,1,1,medium,indicates minimal variation in glycan distribution patterns among a wide spectrum of charge variants.,21700290
methionine variant,sequence,stability tests,stability,requires,1,1,medium,isolated and enriched a trace methionine-oxidized variant of the monoclonal antibody.,21700290
I-anti-CD30-LDM,formulation,stability,stability,promotes,1,1,medium,The stability and the specificity of I-anti-CD30-LDM were evaluated.,31913714
I-anti-CD30-LDM,formulation,CD30 binding,stability,promotes,1,1,medium,The I-anti-CD30-LDM preserved specific binding to CD30.,31913714
specific binding,stability,uptake,stability,increases,1,1,medium,I-anti-CD30-LDM preserved specific binding to CD30 and uptake in tumour xenografts.,31913714
ionic strength,formulation,aggregation propensity,stability,destabilizes,1,1,high,Sugars improved the aggregation propensity under freeze-thaw stress through improved conformational stability.,23319172
nanocarrier system,formulation,PD-L1 expression,stability,increases,1,1,medium,the nanocarrier system targeting FABP5 elevates PD-L1 expression.,40956367
microparticles,formulation,bioactivity,stability,increases,1,1,medium,microparticles resulted in enhanced antigen-specific immunoglobulin G (IgG)...,22711602
microparticles,formulation,protection,stability,increases,1,1,medium,microparticle vaccines showed significantly increased levels of protection.,22711602
microparticles,formulation,IgG,stability,increases,1,1,medium,microparticles resulted in enhanced antigen-specific immunoglobulin G (IgG)...,22711602
IgG stability,stability,protection,stability,increases,1,1,medium,microparticle vaccines showed significantly increased levels of protection.,22711602
heavy chain antibodies,sequence,thermal stability,stability,increases,1,1,high,heavy chain antibodies possessed greater thermal stability.,18755196
heavy chain antibodies,sequence,titer,stability,decreases,1,1,high,the titer of the heavy chain antibodies however was found to be 10-fold lower than the IgG1.,18755196
heavy chain antibodies,sequence,binding selectivity,stability,modifies,1,1,high,heavy chain antibody bound TNT with selectivity similar to conventional antibodies.,18755196
heavy chain antibodies,sequence,assay performance,quality_outcome,requires,1,1,high,analytical assays were best demonstrated using the llama IgG1 conventional antibody.,18755196
ice nucleation,stress,quality,quality_outcome,increases,1,1,high,"CN could improve product quality, and the overall efficiency of the lyophilization process.",41193929
ice nucleation,stress,stability,stability,increases,1,1,high,"CN demonstrated significant improvements in product appearance, uniformity, reconstitution properties, and stability.",41193929
ice nucleation,stress,freeze-drying efficiency,stability,increases,1,1,high,enhancing the overall efficiency of the freeze-drying process.,41193929
dupilumab,formulation,improvement of skin lesions,quality_outcome,promotes,1,1,high,her skin lesions significantly improved.,41063533
drying time,stability,freeze-drying efficiency,stability,increases,1,1,high,enhancing the overall efficiency of the freeze-drying process.,41193929
ice nucleation,stress,lyophilized products,quality_outcome,modifies,1,1,high,"the CN method produced lyophilized drug products with consistent cake appearance, improved quality, and enhanced stabili",41193929
lyophilized products,quality_outcome,therapeutic efficacy,quality_outcome,increases,1,1,high,ensuring therapeutic efficacy and patient safety.,41193929
DPmixEs,formulation,stability,stability,promotes,1,1,high,The protein content of DPmixEs remained stable for 18 months.,40197974
DPmixEs,formulation,proteolytic activity,stability,decreases,1,1,high,The proteolytic activity of DPmixEs was lower than that of NmixEs.,40197974
proteolytic activity,stability,degradation,stability,increases,1,1,high,The stability of the mixtures was investigated by studying proteolysis and degradation effects.,40197974
DPmixEs,formulation,immune response,quality_outcome,induces,1,1,high,DPmixEs induced functional specific IgG antibodies in rabbits.,40197974
DPmixEs,formulation,Treg/TH2 balance,quality_outcome,promotes,1,1,high,DPmixEs induced IL-10 secretion in peripheral blood mononuclear cells from polyallergic patients.,40197974
DPmixEs,formulation,allergenicity,quality_outcome,decreases,1,1,high,The allergenicity of DPmixEs was similar to that of DPEs and lower than that of NmixEs.,40197974
dupilumab,formulation,BP management efficacy,stability,promotes,1,1,high,Dupilumab...has shown efficacy in atopic dermatitis and asthma.,41063533
dupilumab,formulation,reduced corticosteroid use,quality_outcome,promotes,1,1,high,allowing corticosteroid use to be reduced.,41063533
ice nucleation,stress,drying time,stability,decreases,1,1,high,It notably reduced the primary drying time.,41193929
high stability,stability,therapeutic potential,stability,increases,1,1,medium,"high stability, superior solubility, efficient tissue penetration.",41485660
phage display,formulation,advancement,stability,promotes,1,1,medium,the role of phage display in the advancement of FDA-approved and clinical-stage Nb therapeutics.,41485660
nanobody design,structure,mechanism of action,stability,modifies,1,1,medium,how the Nb format design affects their mechanism of action.,41485660
HRA00129-C004,formulation,c-Met proteins,structure,binds,1,1,high,HRA00129-C004 selectively binds to c-Met proteins.,41166693
c-Met proteins,structure,lysosomal internalization,stability,induces,1,1,high,is internalized into lysosomes.,41166693
HRA00129-C004,formulation,stability in circulation,stability,promotes,1,1,high,HRA00129-C004 showed stability in circulation.,41166693
HRA00129-C004,formulation,favorable properties,quality_outcome,promotes,1,1,high,had a favorable safety profile in cynomolgus monkeys.,41166693
c-Met proteins,structure,DNA damage,stability,induces,1,1,high,This process leads to DNA damage.,41166693
DNA damage,stability,apoptosis,stability,induces,1,1,high,leads to DNA damage and apoptosis.,41166693
HRA00129-C004,formulation,activity,quality_outcome,promotes,1,1,high,exhibits strong antitumor activities in both cell line- and patient-derived xenografts.,41166693
bioconjugation,formulation,surface presentation,structure,modifies,1,1,high,The bioconjugation of BsAb-Fs to nanoparticles optimizes surface presentation and spatial orientation.,41277066
recirculation rate,stress,oxygen concentration,stability,increases,1,1,high,the recirculation rate had a significant effect on the oxygen concentration in the external loop,15959892
bioconjugation,formulation,colloidal stability,stability,increases,1,1,high,"improves colloidal stability, which improves SERS-based immunoassay performance.",41277066
bioconjugation,formulation,batch-to-batch variability,stability,decreases,1,1,high,reduces batch-to-batch variability and improves colloidal stability.,41277066
colloidal stability,stability,SERS-based immunoassay,stability,increases,1,1,high,"improves colloidal stability, which improves SERS-based immunoassay performance.",41277066
n-octanol,formulation,reversible microbeads,stability,promotes,1,1,high,n-octanol produced the most reversible microbeads upon reconstitution.,34237365
dehydration,stress,size distribution,stability,modifies,1,1,high,shorter dehydration time... produced a narrow size distribution of the microbeads.,34237365
temperature,stress,size distribution,stability,modifies,1,1,high,low temperature... produced a narrow size distribution of the microbeads.,34237365
residual solvents,formulation,size distribution,stability,modifies,1,1,high,minimized the residual solvents... produced a narrow size distribution of the microbeads.,34237365
initial concentration,formulation,size distribution,stability,modifies,1,1,high,lower initial protein concentration... produced a narrow size distribution of the microbeads.,34237365
trehalose,formulation,reversibility,stability,promotes,1,1,high,addition of trehalose to the IgG solution... Final reversibility of the IgG microbeads with trehalose was over 99%.,34237365
CSPR,stress,metabolic stability,stability,increases,1,1,medium,CSPR directly influences the specific metabolic rates of several metabolites and amino acids.,40756645
CSPR,stress,cell growth dynamics,stability,increases,1,1,medium,positive correlation between iVVD and overall cell growth.,40756645
surface presentation,structure,target binding,stability,increases,1,1,high,"optimizing surface presentation and spatial orientation, enhancing target binding.",41277066
quality control,formulation,safety,quality_outcome,increases,1,1,medium,Rigorous quality control/quality assurance during processing is essential.,7571992
absence of neoantigens,stability,formation,quality_outcome,prevents,1,1,medium,verification of the absence of neoantigens that could stimulate unusual levels of antibody formation.,7571992
antibody concentration,formulation,self-association,stability,increases,1,1,high,measures colloidal self-interactions at ultradilute antibody concentrations (0.01 mg/mL),34105965
self-association,stability,developability,quality_outcome,increases,1,1,high,predictive of antibody developability issues of high viscosity and opalescence,34105965
antibody concentration,formulation,colloidal properties,quality_outcome,requires,1,1,high,challenge has frustrated early-stage and large-scale identification of antibody candidates with drug-like colloidal prop,34105965
self-association,stability,manufacturability,quality_outcome,destabilizes,1,1,high,"early identification of developable antibodies with optimal manufacturability, stability, and delivery attributes remain",34105965
HFI,sequence,HFI expression stability,stability,stabilizes,1,1,medium,HFI plasmid stability was verified by HFI expression of the trend of volume changes.,23258564
HFI,sequence,precipitation,stability,promotes,1,1,medium,HFI could easily precipitate and had progressive characteristics.,23258564
phosphate-citric buffer,formulation,HFI expression stability,stability,stabilizes,1,1,medium,"the buffer system of the additive phosphate-citric acid buffer, arginine, Triton X100 or Tween80.",23258564
HFI,sequence,HER2 signaling inhibition,stability,promotes,1,1,medium,IL2 was recruited to target cells to block HER2 signaling.,23258564
HFI,sequence,immune modulation,stability,promotes,1,1,medium,improve the immune capacity.,23258564
small size,structure,tissue penetration,stability,increases,1,1,medium,"Their small size, high stability, superior solubility, efficient tissue penetration.",41485660
HFI,sequence,purity and activity,stability,requires,1,1,medium,"HFI samples were obtained according to the requirements of purity, activity and homogeneity.",23258564
HFI,sequence,tumor growth inhibition,stability,promotes,1,1,medium,HFI significantly inhibited HER2 expression of breast cancer.,23258564
HFI,sequence,tumor growth delay,stability,promotes,1,1,medium,HFI significantly delayed HER2 overexpression of nonsmall cell lung cancer.,23258564
mesoporous silica,formulation,stability,stability,increases,1,1,high,mesoporous silica nanoparticles have greater efficacy in inducing mucosal immune responses.,31765785
mesoporous silica,formulation,immune response,stability,induces,1,1,high,mesoporous silica nanoparticles have greater efficacy in inducing mucosal immune responses.,31765785
stability,stability,immune response,stability,increases,1,1,high,greater efficacy in inducing mucosal immune responses.,31765785
mesoporous silica,formulation,fluid accumulation index,stability,increases,1,1,high,proved more proficiency in overall immune responses in challenge experiments and FA index.,31765785
stability,stability,fluid accumulation index,stability,increases,1,1,high,proved more proficiency in overall immune responses in challenge experiments and FA index.,31765785
specific antigens,formulation,affinity,quality_outcome,increases,1,1,high,specific geCHO antigens exhibited a modest but reproducible increase in affinity for some mAbs,40291659
geCHO sE2 antigen,formulation,binding to CD81,quality_outcome,destabilizes,1,1,high,one geCHO sE2 antigen failed to bind the CD81 receptor,40291659
